Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
冊,책,책,,"冊 - 책 (a book)
冊床 - 책상 (desk)
冊欌 - 책장 (bookshelf)
童話冊 - 동화책 (a fairy tale)
冊房 - 책방 (bookstore)
空冊 - 공책 (notebook)
","一, ｜, 亅, 冂, 廾",4,3
策,책,꾀,,"政策 - 정책 (policy)
對策 - 대책 (countermeasure)
散策 - 산책 (a walk, stroll)
失策 - 실책 (error)
方策 - 방책 (plan)
策略 - 책략 (tactics)
","｜, 亅, 八, 冂, 巾, 木, 竹",3II,2
妻,처,아내,,"賢母良妻 - 현모양처 (a good mother and a good wife)
","一, ｜, 女, ヨ",3II,2
處,처,곳,,"處理 - 처리 (treatment)
近處 - 근처 (nearby, in the vicinity)
傷處 - 상처 (wound)
出處 - 출처 (source)
處罰 - 처벌 (punishment)
處分 - 처분 (disposal)
","几, 匕, 卜, 厂, 夂, 虍",4II,3II
尺,척,자,,"尺度 - 척도 (scale)
","丶, 尸",3II,2
斥,척,물리칠,,"排斥 - 배척하다 (boycott)
","丶, 斤",3,2
拓,척,열/넓힐,,"開拓 - 개척하다 (pioneer)
開拓者 - 개척자 (settler)
","口, 扎, 石",3II,2
戚,척,친척,,"親戚 - 친척 (relative)
","ノ, 卜, 小, 戈",3II,2
千,천,일천,,"千 - 천 (thousand)
數千 - 수천 (thousands)
千里眼 - 천리안 (clairvoyance)
","ノ, 十",7,6
天,천,하늘,,"天蓋 - 천개 (canopy)
天命 - 천명 (destiny)
天國 - 천국 (paradise)
天使 - 천사 (angel)
天災 - 천재 (disaster)
天才 - 천재적인 (wizard)
","一, 大",7,6
川,천,내,,"仁川 - 인천 (Incheon city)
仁川空港 - 인천공항 (Incheon International Airport)
河川 - 하천 (river)
",川,7,6
泉,천,샘,,"溫泉 - 온천 (hot spring)
源泉 - 원천 (source)
","水, 白",4,3
淺,천,얕을,,"淺薄 - 천박 (superficiality)
","汁, 戈",3II,2
賤,천,천할,,"微賤 - 미천 (obscurity)
","戈, 貝",3II,2
踐,천,밟을,,"實踐 - 실천 (practice)
實踐- - 실천하다 (to put sth into practice)
","口, 戈, 足",3II,2
遷,천,옮길,,"變遷 - 변천 (vicissitude)
左遷 - 좌천 (demotion)
","込, 大, 已, 西",3II,2
薦,천,천거할,,"推薦 - 추천 (recommendation)
薦擧 - 천거 (recommendation)
","广, 艾, 杰",3,2
鐵,철,쇠,,"地下鐵 - 지하철 (subway)
鐵 - 철 (steel)
鐵道 - 철도 (railroad)
鋼鐵 - 강철 (steel)
電鐵 - 전철 (metro, subway)
鐵分 - 철분 (iron)
","口, 土, 戈, 王, 金",5,4
哲,철,밝을,,"哲學 - 철학 (philosophy)
哲學的 - 철학적 (philosophical)
哲學者 - 철학자 (philosopher)
哲人 - 철인 (philosopher)
哲理 - 철리 (philosophy)
","口, 扎, 斤",3II,2
徹,철,뚫을,,"徹底- - 철저하다 (thoroughness, cleanliness)
徹底- - 철저히 (thoroughly)
","亠, 厶, 彳, 攵, 月",3II,2
尖,첨,뾰족할,,,"大, 小",3,2
添,첨,더할,,"添削 - 첨삭 (correction)
","ノ, 大, 汁, 心",3,2
妾,첩,첩,,,"女, 立",3,2
靑,청,푸를,,"靑少年 - 청소년 (young boys and girls, teenagers)
靑年 - 청년 (youth)
靑春 - 청춘 (youth)
靑酸 - 청산 (hydrocyanic acid)
靑- - 청바지 (blue jeans)
靑銅 - 청동 (bronze)
",,8,6II
淸,청,맑을,,"淸掃 - 청소 (cleaning)
淸算 - 청산 (liquidation)
淸掃機 - 청소기 (a vacuum cleaner)
淸淨 - 청정 (purity)
忠淸道 - 충청도 (area around Daejon city)
血淸 - 혈청 (serum)
",,6II,5II
晴,청,갤,,"晴雨計 - 청우계 (barometer)
","二, 亠, 土, 日, 月, 青",3,2
請,청,청할,,"申請 - 신청 (application)
申請 - 신청하다 (request)
要請 - 요청 (request)
要請 - 요청하다 (require)
請- - 청하다 (ask, request)
請求 - 청구 (request)
","二, 亠, 土, 月, 言, 青",4II,3II
聽,청,들을,,"視聽率 - 시청률 (ratings)
視聽者 - 시청자 (television audience member)
盜聽 - 도청하다 (wiretap)
聽覺 - 청각 ((sense of) hearing)
聽衆 - 청중 (audience)
聽取 - 청취 (listening)
","十, 心, 王, 買, 耳",4,3
廳,청,관청,,"市廳 - 시청 (city hall)
區廳 - 구청 (a ward/district office)
","一, 十, 广, 心, 王, 買, 耳",4,3
體,체,몸,,"團體 - 단체 (organization)
全體 - 전체 (whole)
全體的 - 전체적 (entirely, generally)
大體 - 대체 (why on earth?, what the hell?)
業體 - 업체 (a business enterprise)
自體 - 자체 (one's own body)
","｜, 八, 冂, 冖, 口, 日, 月, 豆, 骨",6II,5II
替,체,바꿀,,"代替 - 대체하다 (substitute)
交替 - 교체 (relief)
","二, 亠, 人, 大, 日",3,2
滯,체,막힐,,"停滯 - 정체 (congestion)
遲滯 - 지체하다 (delay)
滯留 - 체류 (stay, sojourn)
沈滯 - 침체 (stagnation)
常習停滯區間 - 상습정체구간 (chronically congested section)
","一, 儿, 冖, 凵, 巾, 汁",3II,2
逮,체,잡을,,"逮捕 - 체포 (arrest)
逮捕 - 체포하다 (collar)
逮捕者 - 체포자 (captor)
","込, ヨ, 水, 隶",3,2
遞,체,갈릴,,"郵遞局 - 우체국 (a post office)
遞傳 - 체전 (relay)
","儿, 匕, 卜, 厂, 込, 虍",3,2
